,title,season,episode,url,seid
72,Cheers,04,04,view_episode_scripts.php?tv-show=cheers&episode=s04e04,s04e04
73,Cheers,04,05,view_episode_scripts.php?tv-show=cheers&episode=s04e05,s04e05
74,Cheers,04,06,view_episode_scripts.php?tv-show=cheers&episode=s04e06,s04e06
75,Cheers,04,07,view_episode_scripts.php?tv-show=cheers&episode=s04e07,s04e07
76,Cheers,04,08,view_episode_scripts.php?tv-show=cheers&episode=s04e08,s04e08
77,Cheers,04,09,view_episode_scripts.php?tv-show=cheers&episode=s04e09,s04e09
78,Cheers,04,10,view_episode_scripts.php?tv-show=cheers&episode=s04e10,s04e10
79,Cheers,04,11,view_episode_scripts.php?tv-show=cheers&episode=s04e11,s04e11
80,Cheers,04,12,view_episode_scripts.php?tv-show=cheers&episode=s04e12,s04e12
81,Cheers,04,13,view_episode_scripts.php?tv-show=cheers&episode=s04e13,s04e13
82,Cheers,04,14,view_episode_scripts.php?tv-show=cheers&episode=s04e14,s04e14
83,Cheers,04,15,view_episode_scripts.php?tv-show=cheers&episode=s04e15,s04e15
84,Cheers,04,16,view_episode_scripts.php?tv-show=cheers&episode=s04e16,s04e16
85,Cheers,04,17,view_episode_scripts.php?tv-show=cheers&episode=s04e17,s04e17
86,Cheers,04,18,view_episode_scripts.php?tv-show=cheers&episode=s04e18,s04e18
87,Cheers,04,19,view_episode_scripts.php?tv-show=cheers&episode=s04e19,s04e19
88,Cheers,04,20,view_episode_scripts.php?tv-show=cheers&episode=s04e20,s04e20
89,Cheers,04,21,view_episode_scripts.php?tv-show=cheers&episode=s04e21,s04e21
90,Cheers,04,22,view_episode_scripts.php?tv-show=cheers&episode=s04e22,s04e22
91,Cheers,04,23,view_episode_scripts.php?tv-show=cheers&episode=s04e23,s04e23
92,Cheers,04,24,view_episode_scripts.php?tv-show=cheers&episode=s04e24,s04e24
93,Cheers,04,25,view_episode_scripts.php?tv-show=cheers&episode=s04e25,s04e25
94,Cheers,04,26,view_episode_scripts.php?tv-show=cheers&episode=s04e26,s04e26
95,Cheers,05,01,view_episode_scripts.php?tv-show=cheers&episode=s05e01,s05e01
96,Cheers,05,02,view_episode_scripts.php?tv-show=cheers&episode=s05e02,s05e02
97,Cheers,05,03,view_episode_scripts.php?tv-show=cheers&episode=s05e03,s05e03
98,Cheers,05,04,view_episode_scripts.php?tv-show=cheers&episode=s05e04,s05e04
99,Cheers,05,05,view_episode_scripts.php?tv-show=cheers&episode=s05e05,s05e05
100,Cheers,05,06,view_episode_scripts.php?tv-show=cheers&episode=s05e06,s05e06
101,Cheers,05,07,view_episode_scripts.php?tv-show=cheers&episode=s05e07,s05e07
102,Cheers,05,08,view_episode_scripts.php?tv-show=cheers&episode=s05e08,s05e08
103,Cheers,05,09,view_episode_scripts.php?tv-show=cheers&episode=s05e09,s05e09
104,Cheers,05,10,view_episode_scripts.php?tv-show=cheers&episode=s05e10,s05e10
105,Cheers,05,11,view_episode_scripts.php?tv-show=cheers&episode=s05e11,s05e11
106,Cheers,05,12,view_episode_scripts.php?tv-show=cheers&episode=s05e12,s05e12
107,Cheers,05,13,view_episode_scripts.php?tv-show=cheers&episode=s05e13,s05e13
108,Cheers,05,14,view_episode_scripts.php?tv-show=cheers&episode=s05e14,s05e14
109,Cheers,05,15,view_episode_scripts.php?tv-show=cheers&episode=s05e15,s05e15
110,Cheers,05,16,view_episode_scripts.php?tv-show=cheers&episode=s05e16,s05e16
111,Cheers,05,17,view_episode_scripts.php?tv-show=cheers&episode=s05e17,s05e17
112,Cheers,05,18,view_episode_scripts.php?tv-show=cheers&episode=s05e18,s05e18
113,Cheers,05,19,view_episode_scripts.php?tv-show=cheers&episode=s05e19,s05e19
114,Cheers,05,20,view_episode_scripts.php?tv-show=cheers&episode=s05e20,s05e20
115,Cheers,05,21,view_episode_scripts.php?tv-show=cheers&episode=s05e21,s05e21
116,Cheers,05,22,view_episode_scripts.php?tv-show=cheers&episode=s05e22,s05e22
117,Cheers,05,23,view_episode_scripts.php?tv-show=cheers&episode=s05e23,s05e23
118,Cheers,05,24,view_episode_scripts.php?tv-show=cheers&episode=s05e24,s05e24
119,Cheers,05,25,view_episode_scripts.php?tv-show=cheers&episode=s05e25,s05e25
120,Cheers,05,26,view_episode_scripts.php?tv-show=cheers&episode=s05e26,s05e26
121,Cheers,06,01,view_episode_scripts.php?tv-show=cheers&episode=s06e01,s06e01
122,Cheers,06,02,view_episode_scripts.php?tv-show=cheers&episode=s06e02,s06e02
123,Cheers,06,03,view_episode_scripts.php?tv-show=cheers&episode=s06e03,s06e03
124,Cheers,06,04,view_episode_scripts.php?tv-show=cheers&episode=s06e04,s06e04
125,Cheers,06,05,view_episode_scripts.php?tv-show=cheers&episode=s06e05,s06e05
126,Cheers,06,06,view_episode_scripts.php?tv-show=cheers&episode=s06e06,s06e06
127,Cheers,06,07,view_episode_scripts.php?tv-show=cheers&episode=s06e07,s06e07
128,Cheers,06,08,view_episode_scripts.php?tv-show=cheers&episode=s06e08,s06e08
129,Cheers,06,09,view_episode_scripts.php?tv-show=cheers&episode=s06e09,s06e09
130,Cheers,06,10,view_episode_scripts.php?tv-show=cheers&episode=s06e10,s06e10
131,Cheers,06,11,view_episode_scripts.php?tv-show=cheers&episode=s06e11,s06e11
132,Cheers,06,12,view_episode_scripts.php?tv-show=cheers&episode=s06e12,s06e12
133,Cheers,06,13,view_episode_scripts.php?tv-show=cheers&episode=s06e13,s06e13
134,Cheers,06,14,view_episode_scripts.php?tv-show=cheers&episode=s06e14,s06e14
135,Cheers,06,15,view_episode_scripts.php?tv-show=cheers&episode=s06e15,s06e15
136,Cheers,06,16,view_episode_scripts.php?tv-show=cheers&episode=s06e16,s06e16
137,Cheers,06,17,view_episode_scripts.php?tv-show=cheers&episode=s06e17,s06e17
138,Cheers,06,18,view_episode_scripts.php?tv-show=cheers&episode=s06e18,s06e18
139,Cheers,06,19,view_episode_scripts.php?tv-show=cheers&episode=s06e19,s06e19
140,Cheers,06,20,view_episode_scripts.php?tv-show=cheers&episode=s06e20,s06e20
141,Cheers,06,21,view_episode_scripts.php?tv-show=cheers&episode=s06e21,s06e21
142,Cheers,06,22,view_episode_scripts.php?tv-show=cheers&episode=s06e22,s06e22
143,Cheers,06,23,view_episode_scripts.php?tv-show=cheers&episode=s06e23,s06e23
144,Cheers,06,24,view_episode_scripts.php?tv-show=cheers&episode=s06e24,s06e24
145,Cheers,06,25,view_episode_scripts.php?tv-show=cheers&episode=s06e25,s06e25
146,Cheers,07,01,view_episode_scripts.php?tv-show=cheers&episode=s07e01,s07e01
147,Cheers,07,02,view_episode_scripts.php?tv-show=cheers&episode=s07e02,s07e02
148,Cheers,07,04,view_episode_scripts.php?tv-show=cheers&episode=s07e04,s07e04
149,Cheers,07,05,view_episode_scripts.php?tv-show=cheers&episode=s07e05,s07e05
150,Cheers,07,07,view_episode_scripts.php?tv-show=cheers&episode=s07e07,s07e07
151,Cheers,07,09,view_episode_scripts.php?tv-show=cheers&episode=s07e09,s07e09
152,Cheers,07,10,view_episode_scripts.php?tv-show=cheers&episode=s07e10,s07e10
153,Cheers,07,11,view_episode_scripts.php?tv-show=cheers&episode=s07e11,s07e11
154,Cheers,07,12,view_episode_scripts.php?tv-show=cheers&episode=s07e12,s07e12
155,Cheers,07,13,view_episode_scripts.php?tv-show=cheers&episode=s07e13,s07e13
156,Cheers,07,14,view_episode_scripts.php?tv-show=cheers&episode=s07e14,s07e14
157,Cheers,07,15,view_episode_scripts.php?tv-show=cheers&episode=s07e15,s07e15
158,Cheers,07,17,view_episode_scripts.php?tv-show=cheers&episode=s07e17,s07e17
159,Cheers,07,19,view_episode_scripts.php?tv-show=cheers&episode=s07e19,s07e19
160,Cheers,07,20,view_episode_scripts.php?tv-show=cheers&episode=s07e20,s07e20
161,Cheers,07,21,view_episode_scripts.php?tv-show=cheers&episode=s07e21,s07e21
162,Cheers,08,01,view_episode_scripts.php?tv-show=cheers&episode=s08e01,s08e01
163,Cheers,08,02,view_episode_scripts.php?tv-show=cheers&episode=s08e02,s08e02
164,Cheers,08,03,view_episode_scripts.php?tv-show=cheers&episode=s08e03,s08e03
165,Cheers,08,04,view_episode_scripts.php?tv-show=cheers&episode=s08e04,s08e04
166,Cheers,08,05,view_episode_scripts.php?tv-show=cheers&episode=s08e05,s08e05
167,Cheers,08,06,view_episode_scripts.php?tv-show=cheers&episode=s08e06,s08e06
168,Cheers,08,07,view_episode_scripts.php?tv-show=cheers&episode=s08e07,s08e07
169,Cheers,08,08,view_episode_scripts.php?tv-show=cheers&episode=s08e08,s08e08
170,Cheers,08,09,view_episode_scripts.php?tv-show=cheers&episode=s08e09,s08e09
171,Cheers,08,10,view_episode_scripts.php?tv-show=cheers&episode=s08e10,s08e10
172,Cheers,08,11,view_episode_scripts.php?tv-show=cheers&episode=s08e11,s08e11
173,Cheers,08,12,view_episode_scripts.php?tv-show=cheers&episode=s08e12,s08e12
174,Cheers,08,13,view_episode_scripts.php?tv-show=cheers&episode=s08e13,s08e13
175,Cheers,08,14,view_episode_scripts.php?tv-show=cheers&episode=s08e14,s08e14
176,Cheers,08,15,view_episode_scripts.php?tv-show=cheers&episode=s08e15,s08e15
177,Cheers,08,16,view_episode_scripts.php?tv-show=cheers&episode=s08e16,s08e16
178,Cheers,08,17,view_episode_scripts.php?tv-show=cheers&episode=s08e17,s08e17
179,Cheers,08,18,view_episode_scripts.php?tv-show=cheers&episode=s08e18,s08e18
180,Cheers,08,19,view_episode_scripts.php?tv-show=cheers&episode=s08e19,s08e19
181,Cheers,08,20,view_episode_scripts.php?tv-show=cheers&episode=s08e20,s08e20
182,Cheers,08,21,view_episode_scripts.php?tv-show=cheers&episode=s08e21,s08e21
183,Cheers,08,22,view_episode_scripts.php?tv-show=cheers&episode=s08e22,s08e22
184,Cheers,08,23,view_episode_scripts.php?tv-show=cheers&episode=s08e23,s08e23
185,Cheers,08,24,view_episode_scripts.php?tv-show=cheers&episode=s08e24,s08e24
186,Cheers,08,25,view_episode_scripts.php?tv-show=cheers&episode=s08e25,s08e25
187,Cheers,08,26,view_episode_scripts.php?tv-show=cheers&episode=s08e26,s08e26
188,Cheers,09,01,view_episode_scripts.php?tv-show=cheers&episode=s09e01,s09e01
189,Cheers,09,02,view_episode_scripts.php?tv-show=cheers&episode=s09e02,s09e02
190,Cheers,09,03,view_episode_scripts.php?tv-show=cheers&episode=s09e03,s09e03
191,Cheers,09,04,view_episode_scripts.php?tv-show=cheers&episode=s09e04,s09e04
192,Cheers,09,05,view_episode_scripts.php?tv-show=cheers&episode=s09e05,s09e05
193,Cheers,09,06,view_episode_scripts.php?tv-show=cheers&episode=s09e06,s09e06
194,Cheers,09,07,view_episode_scripts.php?tv-show=cheers&episode=s09e07,s09e07
195,Cheers,09,08,view_episode_scripts.php?tv-show=cheers&episode=s09e08,s09e08
196,Cheers,09,10,view_episode_scripts.php?tv-show=cheers&episode=s09e10,s09e10
197,Cheers,09,11,view_episode_scripts.php?tv-show=cheers&episode=s09e11,s09e11
198,Cheers,09,12,view_episode_scripts.php?tv-show=cheers&episode=s09e12,s09e12
199,Cheers,09,13,view_episode_scripts.php?tv-show=cheers&episode=s09e13,s09e13
200,Cheers,09,14,view_episode_scripts.php?tv-show=cheers&episode=s09e14,s09e14
201,Cheers,09,15,view_episode_scripts.php?tv-show=cheers&episode=s09e15,s09e15
202,Cheers,09,16,view_episode_scripts.php?tv-show=cheers&episode=s09e16,s09e16
203,Cheers,09,17,view_episode_scripts.php?tv-show=cheers&episode=s09e17,s09e17
204,Cheers,09,18,view_episode_scripts.php?tv-show=cheers&episode=s09e18,s09e18
205,Cheers,09,19,view_episode_scripts.php?tv-show=cheers&episode=s09e19,s09e19
206,Cheers,09,20,view_episode_scripts.php?tv-show=cheers&episode=s09e20,s09e20
207,Cheers,09,21,view_episode_scripts.php?tv-show=cheers&episode=s09e21,s09e21
