Saved By The Bell,https://en.wikipedia.org/wiki/Saved_by_the_Bell,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=saved-by-the-bell-1989
Schitt's Creek,https://en.wikipedia.org/wiki/Schitt%27s_Creek,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=schitts-creek-2015
Seinfeld,https://en.wikipedia.org/wiki/Seinfeld,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=seinfeld
Silicon Valley,https://en.wikipedia.org/wiki/Silicon_Valley_(TV_series),https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=silicon-valley-2014
Spongebob Squarepants,https://en.wikipedia.org/wiki/Taxi_(TV_series),https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=spongebob-squarepants
Taxi,https://en.wikipedia.org/wiki/That_%2770s_Show,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=taxi-1978
That '70s Show,https://en.wikipedia.org/wiki/The_Addams_Family_(1964_TV_series),https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=that-70s-show
The Addams Family,https://en.wikipedia.org/wiki/The_Cosby_Show,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-addams-family-1964
The Cosby Show,https://en.wikipedia.org/wiki/The_Flintstones,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-cosby-show
The Flintstones,https://en.wikipedia.org/wiki/The_Fresh_Prince_of_Bel-Air,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-flintstones-1960
The Fresh Prince of Bel-Air,https://en.wikipedia.org/wiki/The_Goldbergs_(2013_TV_series),https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-fresh-prince-of-bel-air
The Goldbergs,https://en.wikipedia.org/wiki/The_Golden_Girls,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-goldbergs
The Golden Girls,https://en.wikipedia.org/wiki/The_Good_Place,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-golden-girls-1985
The Good Place,https://en.wikipedia.org/wiki/The_IT_Crowd,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-good-place-2016
The IT Crowd,https://en.wikipedia.org/wiki/The_Jetsons,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-it-crowd
The Jetsons,https://en.wikipedia.org/wiki/The_Mary_Tyler_Moore_Show,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-jetsons-1962
The Mary Tyler Moore Show,https://en.wikipedia.org/wiki/The_Munsters,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970
The Munsters,https://en.wikipedia.org/wiki/The_Office_(American_TV_series),https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-munsters-1964
The Office (US),https://en.wikipedia.org/wiki/The_Simpsons,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-office-us
The Simpsons,https://en.wikipedia.org/wiki/The_White_Lotus,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-simpsons
The White Lotus,https://en.wikipedia.org/wiki/The_Wonder_Years,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-white-lotus-2021
The Wonder Years,https://en.wikipedia.org/wiki/Three%27s_Company,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-wonder-years
Three's Company,https://en.wikipedia.org/wiki/Who%27s_the_Boss%3F,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=threes-company-1977
Who's the Boss?,https://en.wikipedia.org/wiki/Will_%26_Grace,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=whos-the-boss-1984
Will & Grace,,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=will-and-grace
