,title,season,episode,url,seid
47,The Fresh Prince of Bel-Air,02,23,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e23,s02e23
48,The Fresh Prince of Bel-Air,02,24,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e24,s02e24
49,The Fresh Prince of Bel-Air,03,01,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e01,s03e01
50,The Fresh Prince of Bel-Air,03,02,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e02,s03e02
51,The Fresh Prince of Bel-Air,03,03,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e03,s03e03
52,The Fresh Prince of Bel-Air,03,04,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e04,s03e04
53,The Fresh Prince of Bel-Air,03,05,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e05,s03e05
54,The Fresh Prince of Bel-Air,03,06,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e06,s03e06
55,The Fresh Prince of Bel-Air,03,07,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e07,s03e07
56,The Fresh Prince of Bel-Air,03,08,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e08,s03e08
57,The Fresh Prince of Bel-Air,03,09,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e09,s03e09
58,The Fresh Prince of Bel-Air,03,10,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e10,s03e10
59,The Fresh Prince of Bel-Air,03,11,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e11,s03e11
60,The Fresh Prince of Bel-Air,03,12,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e12,s03e12
61,The Fresh Prince of Bel-Air,03,13,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e13,s03e13
62,The Fresh Prince of Bel-Air,03,14,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e14,s03e14
