,title,season,episode,url,seid
0,New Girl,01,01,view_episode_scripts.php?tv-show=new-girl&episode=s01e01,s01e01
1,New Girl,01,02,view_episode_scripts.php?tv-show=new-girl&episode=s01e02,s01e02
2,New Girl,01,03,view_episode_scripts.php?tv-show=new-girl&episode=s01e03,s01e03
3,New Girl,01,04,view_episode_scripts.php?tv-show=new-girl&episode=s01e04,s01e04
4,New Girl,01,05,view_episode_scripts.php?tv-show=new-girl&episode=s01e05,s01e05
5,New Girl,01,06,view_episode_scripts.php?tv-show=new-girl&episode=s01e06,s01e06
6,New Girl,01,07,view_episode_scripts.php?tv-show=new-girl&episode=s01e07,s01e07
7,New Girl,01,08,view_episode_scripts.php?tv-show=new-girl&episode=s01e08,s01e08
8,New Girl,01,09,view_episode_scripts.php?tv-show=new-girl&episode=s01e09,s01e09
9,New Girl,01,10,view_episode_scripts.php?tv-show=new-girl&episode=s01e10,s01e10
10,New Girl,01,11,view_episode_scripts.php?tv-show=new-girl&episode=s01e11,s01e11
11,New Girl,01,12,view_episode_scripts.php?tv-show=new-girl&episode=s01e12,s01e12
12,New Girl,01,13,view_episode_scripts.php?tv-show=new-girl&episode=s01e13,s01e13
13,New Girl,01,14,view_episode_scripts.php?tv-show=new-girl&episode=s01e14,s01e14
14,New Girl,01,15,view_episode_scripts.php?tv-show=new-girl&episode=s01e15,s01e15
15,New Girl,01,16,view_episode_scripts.php?tv-show=new-girl&episode=s01e16,s01e16
16,New Girl,01,17,view_episode_scripts.php?tv-show=new-girl&episode=s01e17,s01e17
17,New Girl,01,18,view_episode_scripts.php?tv-show=new-girl&episode=s01e18,s01e18
18,New Girl,01,19,view_episode_scripts.php?tv-show=new-girl&episode=s01e19,s01e19
19,New Girl,01,20,view_episode_scripts.php?tv-show=new-girl&episode=s01e20,s01e20
20,New Girl,01,21,view_episode_scripts.php?tv-show=new-girl&episode=s01e21,s01e21
21,New Girl,01,22,view_episode_scripts.php?tv-show=new-girl&episode=s01e22,s01e22
22,New Girl,01,23,view_episode_scripts.php?tv-show=new-girl&episode=s01e23,s01e23
23,New Girl,01,24,view_episode_scripts.php?tv-show=new-girl&episode=s01e24,s01e24
24,New Girl,02,01,view_episode_scripts.php?tv-show=new-girl&episode=s02e01,s02e01
25,New Girl,02,02,view_episode_scripts.php?tv-show=new-girl&episode=s02e02,s02e02
26,New Girl,02,03,view_episode_scripts.php?tv-show=new-girl&episode=s02e03,s02e03
27,New Girl,02,04,view_episode_scripts.php?tv-show=new-girl&episode=s02e04,s02e04
28,New Girl,02,05,view_episode_scripts.php?tv-show=new-girl&episode=s02e05,s02e05
29,New Girl,02,06,view_episode_scripts.php?tv-show=new-girl&episode=s02e06,s02e06
30,New Girl,02,07,view_episode_scripts.php?tv-show=new-girl&episode=s02e07,s02e07
31,New Girl,02,08,view_episode_scripts.php?tv-show=new-girl&episode=s02e08,s02e08
32,New Girl,02,09,view_episode_scripts.php?tv-show=new-girl&episode=s02e09,s02e09
33,New Girl,02,10,view_episode_scripts.php?tv-show=new-girl&episode=s02e10,s02e10
34,New Girl,02,11,view_episode_scripts.php?tv-show=new-girl&episode=s02e11,s02e11
35,New Girl,02,12,view_episode_scripts.php?tv-show=new-girl&episode=s02e12,s02e12
36,New Girl,02,13,view_episode_scripts.php?tv-show=new-girl&episode=s02e13,s02e13
37,New Girl,02,14,view_episode_scripts.php?tv-show=new-girl&episode=s02e14,s02e14
38,New Girl,02,15,view_episode_scripts.php?tv-show=new-girl&episode=s02e15,s02e15
39,New Girl,02,16,view_episode_scripts.php?tv-show=new-girl&episode=s02e16,s02e16
40,New Girl,02,17,view_episode_scripts.php?tv-show=new-girl&episode=s02e17,s02e17
41,New Girl,02,18,view_episode_scripts.php?tv-show=new-girl&episode=s02e18,s02e18
42,New Girl,02,19,view_episode_scripts.php?tv-show=new-girl&episode=s02e19,s02e19
43,New Girl,02,20,view_episode_scripts.php?tv-show=new-girl&episode=s02e20,s02e20
44,New Girl,02,21,view_episode_scripts.php?tv-show=new-girl&episode=s02e21,s02e21
45,New Girl,02,22,view_episode_scripts.php?tv-show=new-girl&episode=s02e22,s02e22
46,New Girl,02,23,view_episode_scripts.php?tv-show=new-girl&episode=s02e23,s02e23
47,New Girl,02,24,view_episode_scripts.php?tv-show=new-girl&episode=s02e24,s02e24
48,New Girl,02,25,view_episode_scripts.php?tv-show=new-girl&episode=s02e25,s02e25
49,New Girl,03,01,view_episode_scripts.php?tv-show=new-girl&episode=s03e01,s03e01
50,New Girl,03,02,view_episode_scripts.php?tv-show=new-girl&episode=s03e02,s03e02
51,New Girl,03,03,view_episode_scripts.php?tv-show=new-girl&episode=s03e03,s03e03
52,New Girl,03,04,view_episode_scripts.php?tv-show=new-girl&episode=s03e04,s03e04
53,New Girl,03,05,view_episode_scripts.php?tv-show=new-girl&episode=s03e05,s03e05
54,New Girl,03,06,view_episode_scripts.php?tv-show=new-girl&episode=s03e06,s03e06
55,New Girl,03,07,view_episode_scripts.php?tv-show=new-girl&episode=s03e07,s03e07
56,New Girl,03,08,view_episode_scripts.php?tv-show=new-girl&episode=s03e08,s03e08
57,New Girl,03,09,view_episode_scripts.php?tv-show=new-girl&episode=s03e09,s03e09
58,New Girl,03,10,view_episode_scripts.php?tv-show=new-girl&episode=s03e10,s03e10
59,New Girl,03,11,view_episode_scripts.php?tv-show=new-girl&episode=s03e11,s03e11
60,New Girl,03,12,view_episode_scripts.php?tv-show=new-girl&episode=s03e12,s03e12
61,New Girl,03,13,view_episode_scripts.php?tv-show=new-girl&episode=s03e13,s03e13
62,New Girl,03,14,view_episode_scripts.php?tv-show=new-girl&episode=s03e14,s03e14
63,New Girl,03,15,view_episode_scripts.php?tv-show=new-girl&episode=s03e15,s03e15
64,New Girl,03,16,view_episode_scripts.php?tv-show=new-girl&episode=s03e16,s03e16
65,New Girl,03,17,view_episode_scripts.php?tv-show=new-girl&episode=s03e17,s03e17
66,New Girl,03,18,view_episode_scripts.php?tv-show=new-girl&episode=s03e18,s03e18
67,New Girl,03,19,view_episode_scripts.php?tv-show=new-girl&episode=s03e19,s03e19
68,New Girl,03,20,view_episode_scripts.php?tv-show=new-girl&episode=s03e20,s03e20
69,New Girl,03,21,view_episode_scripts.php?tv-show=new-girl&episode=s03e21,s03e21
70,New Girl,03,22,view_episode_scripts.php?tv-show=new-girl&episode=s03e22,s03e22
71,New Girl,03,23,view_episode_scripts.php?tv-show=new-girl&episode=s03e23,s03e23
72,New Girl,04,01,view_episode_scripts.php?tv-show=new-girl&episode=s04e01,s04e01
73,New Girl,04,02,view_episode_scripts.php?tv-show=new-girl&episode=s04e02,s04e02
74,New Girl,04,03,view_episode_scripts.php?tv-show=new-girl&episode=s04e03,s04e03
75,New Girl,04,04,view_episode_scripts.php?tv-show=new-girl&episode=s04e04,s04e04
76,New Girl,04,05,view_episode_scripts.php?tv-show=new-girl&episode=s04e05,s04e05
77,New Girl,04,06,view_episode_scripts.php?tv-show=new-girl&episode=s04e06,s04e06
78,New Girl,04,07,view_episode_scripts.php?tv-show=new-girl&episode=s04e07,s04e07
79,New Girl,04,08,view_episode_scripts.php?tv-show=new-girl&episode=s04e08,s04e08
80,New Girl,04,09,view_episode_scripts.php?tv-show=new-girl&episode=s04e09,s04e09
81,New Girl,04,10,view_episode_scripts.php?tv-show=new-girl&episode=s04e10,s04e10
82,New Girl,04,11,view_episode_scripts.php?tv-show=new-girl&episode=s04e11,s04e11
