,title,season,episode,url,seid
0,The Mary Tyler Moore Show,01,01,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e01,s01e01
1,The Mary Tyler Moore Show,01,02,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e02,s01e02
2,The Mary Tyler Moore Show,01,03,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e03,s01e03
3,The Mary Tyler Moore Show,01,04,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e04,s01e04
4,The Mary Tyler Moore Show,01,05,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e05,s01e05
5,The Mary Tyler Moore Show,01,06,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e06,s01e06
6,The Mary Tyler Moore Show,01,07,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e07,s01e07
7,The Mary Tyler Moore Show,01,08,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e08,s01e08
8,The Mary Tyler Moore Show,01,09,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e09,s01e09
9,The Mary Tyler Moore Show,01,10,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e10,s01e10
10,The Mary Tyler Moore Show,01,11,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e11,s01e11
11,The Mary Tyler Moore Show,01,12,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e12,s01e12
12,The Mary Tyler Moore Show,01,13,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e13,s01e13
13,The Mary Tyler Moore Show,01,14,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e14,s01e14
14,The Mary Tyler Moore Show,01,15,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e15,s01e15
15,The Mary Tyler Moore Show,01,16,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e16,s01e16
16,The Mary Tyler Moore Show,01,17,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e17,s01e17
17,The Mary Tyler Moore Show,01,18,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e18,s01e18
18,The Mary Tyler Moore Show,01,19,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e19,s01e19
19,The Mary Tyler Moore Show,01,20,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e20,s01e20
20,The Mary Tyler Moore Show,01,21,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e21,s01e21
21,The Mary Tyler Moore Show,01,22,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e22,s01e22
22,The Mary Tyler Moore Show,01,23,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e23,s01e23
23,The Mary Tyler Moore Show,01,24,view_episode_scripts.php?tv-show=the-mary-tyler-moore-show-1970&episode=s01e24,s01e24
24,Sanford and Son,01,01,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e01,s01e01
25,Sanford and Son,01,02,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e02,s01e02
26,Sanford and Son,01,03,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e03,s01e03
27,Sanford and Son,01,04,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e04,s01e04
28,Sanford and Son,01,05,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e05,s01e05
29,Sanford and Son,01,06,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e06,s01e06
30,Sanford and Son,01,07,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e07,s01e07
31,Sanford and Son,01,08,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e08,s01e08
32,Sanford and Son,01,09,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e09,s01e09
33,Sanford and Son,01,10,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e10,s01e10
34,Sanford and Son,01,11,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e11,s01e11
35,Sanford and Son,01,12,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e12,s01e12
36,Sanford and Son,01,13,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e13,s01e13
37,Sanford and Son,01,14,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s01e14,s01e14
38,Sanford and Son,02,01,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e01,s02e01
39,Sanford and Son,02,02,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e02,s02e02
40,Sanford and Son,02,03,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e03,s02e03
41,Sanford and Son,02,04,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e04,s02e04
42,Sanford and Son,02,05,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e05,s02e05
43,Sanford and Son,02,06,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e06,s02e06
44,Sanford and Son,02,07,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e07,s02e07
45,Sanford and Son,02,08,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e08,s02e08
46,Sanford and Son,02,09,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e09,s02e09
47,Sanford and Son,02,10,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e10,s02e10
48,Sanford and Son,02,11,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e11,s02e11
49,Sanford and Son,02,12,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e12,s02e12
50,Sanford and Son,02,13,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e13,s02e13
51,Sanford and Son,02,14,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e14,s02e14
52,Sanford and Son,02,15,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e15,s02e15
53,Sanford and Son,02,16,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e16,s02e16
54,Sanford and Son,02,17,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e17,s02e17
55,Sanford and Son,02,18,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e18,s02e18
56,Sanford and Son,02,19,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e19,s02e19
57,Sanford and Son,02,20,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e20,s02e20
58,Sanford and Son,02,21,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e21,s02e21
59,Sanford and Son,02,22,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e22,s02e22
60,Sanford and Son,02,23,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e23,s02e23
61,Sanford and Son,02,24,view_episode_scripts.php?tv-show=sanford-and-son-1972&episode=s02e24,s02e24
62,M*A*S*H,01,01,view_episode_scripts.php?tv-show=mash&episode=s01e01,s01e01
63,M*A*S*H,01,02,view_episode_scripts.php?tv-show=mash&episode=s01e02,s01e02
64,M*A*S*H,01,03,view_episode_scripts.php?tv-show=mash&episode=s01e03,s01e03
65,M*A*S*H,01,04,view_episode_scripts.php?tv-show=mash&episode=s01e04,s01e04
66,M*A*S*H,01,05,view_episode_scripts.php?tv-show=mash&episode=s01e05,s01e05
