30 Rock,Oct. 2006,Jan. 2013,https://en.wikipedia.org/wiki/30_Rock,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=30-rock
Big Bang Theory,Sep. 2007,May 2019,https://en.wikipedia.org/wiki/The_Big_Bang_Theory,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=big-bang-theory
Parks and Recreation,Apr. 2009,Feb. 2015,https://en.wikipedia.org/wiki/Parks_and_Recreation,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=parks-and-recreation
Community,Sep. 2009,Jun. 2015,https://en.wikipedia.org/wiki/Community_(TV_series),https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=community
New Girl,Sep. 2011,May 2018,https://en.wikipedia.org/wiki/New_Girl,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=new-girl
Brooklyn Nine-Nine,Sep. 2013,Sep. 2021,https://en.wikipedia.org/wiki/Brooklyn_Nine-Nine,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=brooklyn-nine-nine
Silicon Valley,Apr. 2014,Dec. 2019,https://en.wikipedia.org/wiki/Silicon_Valley_(TV_series),https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=silicon-valley-2014
Schitt's Creek,Jan. 2015,Apr. 2020,https://en.wikipedia.org/wiki/Schitt%27s_Creek,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=schitts-creek-2015
Fleabag,Jul. 2016,Apr. 2019,https://en.wikipedia.org/wiki/Fleabag,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=fleabag-2016
The Good Place,Sep. 2016,Jan. 2020,https://en.wikipedia.org/wiki/The_Good_Place,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=the-good-place-2016
Santa Clarita Diet,Feb. 2017,Mar. 2019,https://en.wikipedia.org/wiki/Santa_Clarita_Diet,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=santa-clarita-diet-2017
PEN15,Feb. 2019,Dec. 2021,https://en.wikipedia.org/wiki/PEN15,https://www.springfieldspringfield.co.uk/episode_scripts.php?tv-show=pen15-2019
